Name,Age,Date of Birth,Country,Current Rank,Best Rank,Debut,Height in m,Weight in kg,Events,Made Cuts,First,Second,Third,Fourth,Total Points,Average Points,Divisor
Jon Rahm,26,1994,SPAIN,1,1,2016,1.88,100,49,13,12,9,7,37,478.26,9.7603,49
Dustin Johnson,37,1984,USA,2,1,2007,1.93,86,42,45,25,18,11,64,383.57,9.1326,42
Collin Morikawa,24,1997,USA,3,3,2019,1.75,73,53,5,5,4,0,13,456.29,8.7747,52
Justin Thomas,28,1993,USA,4,1,2013,1.78,73,51,37,15,6,10,39,368.1,7.2177,51
Xander Schauffele,27,1993,USA,5,4,2015,1.78,79,48,32,6,10,7,17,356.11,7.4189,48
Bryson DeChambeau,27,1993,USA,6,4,2016,1.85,109,50,39,10,5,3,20,310.16,6.2031,50
Brooks Koepka,31,1990,USA,7,1,2012,1.83,93,41,39,15,13,5,36,257.63,6.2838,41
Louis Oosthuizen,38,1982,SOUTH AFRICA,8,4,2002,1.78,77,47,117,12,23,12,71,289.37,6.1568,47
Patrick Cantlay,29,1992,USA,9,6,2012,1.78,73,42,23,5,7,4,18,246.98,5.8804,42
Harris English,32,1989,USA,10,10,2011,1.9,84,53,73,5,4,5,26,278.63,5.3582,52
Viktor Hovland,23,1997,NORWAY,11,11,2019,1.78,88,54,9,3,3,4,5,281.1,5.4058,52
Patrick Reed,30,1990,USA,12,6,2011,1.83,91,63,53,9,9,5,46,277.19,5.3306,52
Rory McIlroy,32,1989,UNITED KINGDOM,13,1,2007,1.75,73,50,55,27,26,20,92,268.31,5.3662,50
Tyrrell Hatton,29,1991,UNITED KINGDOM,14,5,2011,1.75,73,47,58,7,7,8,38,252.03,5.3624,47
Jordan Spieth,28,1993,USA,15,1,2012,1.85,79,49,35,15,17,11,42,263.37,5.3749,49
Webb Simpson,35,1985,USA,16,4,2008,1.88,79,41,72,7,13,9,56,202,4.9269,41
Daniel Berger,28,1993,USA,17,12,2013,1.85,79,46,44,4,7,5,23,226.62,4.9264,46
Scottie Scheffler,25,1996,USA,18,17,2018,1.9,82,59,20,2,4,3,15,249.03,4.789,52
Tony Finau,31,1989,USA,19,9,2007,1.93,91,58,50,2,10,3,43,242.6,4.6653,52
Hideki Matsuyama,29,1992,JAPAN,20,2,2013,1.81,90,55,33,15,11,9,39,242.03,4.6545,52
Matt Fitzpatrick,26,1994,UNITED KINGDOM,21,16,2014,1.78,70,57,51,6,9,6,31,229.48,4.4131,52
Paul Casey,44,1977,UNITED KINGDOM,22,3,2000,1.78,82,50,100,19,16,14,98,222.53,4.4506,50
Abraham Ancer,30,1991,USA,23,17,2013,1.7,70,59,61,2,8,0,20,223.35,4.2951,52
Jason Kokrak,36,1985,CANADA,24,22,NOT FOUND,1.93,102,51,87,4,3,3,28,206.19,4.043,51
Billy Horschel,34,1986,USA,25,12,2009,1.83,79,54,82,5,7,5,35,195.85,3.7664,52
Joaquin Niemann,22,1998,CHILE,26,25,2018,1.83,69,59,22,1,3,2,14,189.33,3.6409,52
Sungjae Im,23,1998,JEJU ISLAND,27,16,2015,1.83,91,71,38,4,7,5,25,176.42,3.3928,52
Cameron Smith,27,1993,AUSTRALIA,28,24,2013,1.8,78,50,54,3,5,5,31,168.27,3.3654,50
Lee Westwood,48,1973,UNITED KINGDOM,29,1,1993,1.83,93,51,122,41,31,26,126,168.34,3.3008,51
Will Zalatoris,24,1996,USA,30,27,2018,1.88,75,50,16,1,2,2,15,161.49,3.2298,50
Phil Mickelson,51,1970,USA,31,2,1992,1.91,91,47,126,48,41,30,99,148.96,3.1693,47
Sam Burns,25,1996,USA,32,32,2017,1.85,84,48,30,2,2,4,8,151.82,3.163,48
Ryan Palmer,44,1976,USA,33,23,NOT FOUND,1.8,79,47,160,4,11,9,50,147.2,3.1319,47
Tommy Fleetwood,30,1991,UNITED KINGDOM,34,9,2010,1.78,76,53,66,6,15,7,46,156.65,3.0124,52
Corey Conners,29,1992,CANADA,35,34,2015,1.83,86,61,55,1,4,4,18,158.34,3.0449,52
Marc Leishman,37,1983,AUSTRALIA,36,12,2005,1.88,91,49,101,7,9,10,42,141.18,2.8812,49
Kevin Na,37,1983,SOUTH KOREA,37,19,2001,1.8,76,50,123,7,12,8,62,145.95,2.919,50
Matthew Wolff,22,1999,USA,38,12,2019,1.83,75,44,8,1,3,0,1,123.29,2.8021,44
Max Homa,30,1990,USA,39,37,2013,1.85,82,55,92,4,0,1,17,142.23,2.7352,52
Shane Lowry,34,1987,IRELAND,40,16,2009,1.85,102,54,89,5,9,4,35,142.4,2.7384,52
Garrick Higgo,22,1999,SOUTH AFRICA,41,38,2019,1.85,79,51,19,7,1,2,6,136.47,2.6759,51
Brian Harman,34,1987,USA,42,20,2009,1.7,70,57,92,2,1,7,30,137.93,2.6525,52
Adam Scott,41,1980,AUSTRALIA,43,1,2000,1.83,82,37,81,29,21,20,98,103.68,2.592,40
Victor Perez,28,1992,FRANCE,44,29,2015,1.98,54,44,39,4,6,1,20,116.87,2.6561,44
Stewart Cink,48,1973,USA,45,5,1995,1.93,93,44,152,8,11,10,78,114.93,2.612,44
Christiaan Bezuidenhout,27,1994,SOUTH AFRICA,46,33,2015,NOT FOUND,NOT FOUND,54,45,5,5,2,12,136.09,2.6172,52
Justin Rose,40,1980,SOUTH AFRICA,47,1,1998,1.91,88,47,137,22,27,18,102,118.96,2.531,47
Robert MacIntyre,24,1996,UNITED KINGDOM,48,42,2017,1.8,NOT FOUND,50,21,2,5,3,12,122.79,2.4557,50
Kevin Kisner,37,1984,USA,49,14,2006,1.78,75,55,104,5,9,4,33,124.77,2.3995,52
Ian Poulter,45,1976,UNITED KINGDOM,50,5,1995,1.85,86,55,118,15,16,18,84,124.14,2.3874,52
Sergio Garcia,41,1980,SPAIN,51,2,1999,1.78,82,51,80,31,30,19,119,120.18,2.3565,51
Lucas Herbert,25,1995,AUSTRALIA,52,49,2015,NOT FOUND,94,40,36,2,5,3,13,96.38,2.4094,40
Mackenzie Hughes,30,1990,CANADA,53,48,2013,1.83,77,56,87,3,3,4,14,120.44,2.3162,52
Kevin Streelman,42,1978,USA,54,36,2001,1.78,79,57,120,2,4,7,35,115.61,2.2232,52
Si Woo Kim,26,1995,SOUTH KOREA,55,28,2012,1.8,83,64,92,4,4,5,16,116.61,2.2424,52
Matt Wallace,31,1990,UNITED KINGDOM,56,23,2012,1.83,85,61,34,10,6,8,18,110.37,2.1226,52
Russell Henley,32,1989,USA,57,43,2011,1.83,77,50,80,6,3,5,25,108.03,2.1607,50
Bubba Watson,42,1978,USA,58,2,2002,1.91,82,48,107,13,19,9,52,99.61,2.0751,48
Charley Hoffman,44,1976,USA,59,20,2000,1.83,91,55,153,5,11,8,45,106.42,2.0465,52
Min Woo Lee,23,1998,AUSTRALIA,60,60,2018,NOT FOUND,NOT FOUND,38,29,2,0,2,8,81.5,2.0374,40
Carlos Ortiz,30,1991,MEXICO,61,44,2013,1.83,68,58,81,4,2,3,13,106.15,2.0414,52
Bernd Wiesberger,35,1985,AUSTRIA,62,21,2006,1.88,86,52,105,11,10,6,43,103.42,1.9888,52
K.H. Lee,29,1991,SOUTH KOREA,63,59,2010,1.78,82,64,89,5,10,4,34,103.91,1.9983,52
Branden Grace,33,1988,SOUTH AFRICA,64,10,2007,1.78,78,55,103,13,8,9,48,102.72,1.9753,52
Cam Davis,26,1995,AUSTRALIA,65,64,2016,1.93,82,56,44,3,0,4,7,102.79,1.9766,52
Cameron Champ,26,1995,USA,66,66,2017,1.83,81,54,36,4,0,0,9,100.98,1.9419,52
Matt Jones,41,1980,AUSTRALIA,67,41,2001,1.78,90,59,164,4,8,3,37,100.59,1.9344,52
Chris Kirk,36,1985,USA,68,16,2007,1.91,79,36,102,7,8,0,29,76.95,1.9237,40
Emiliano Grillo,28,1992,ARGENTINA,69,23,2011,1.75,64,59,65,3,7,6,30,99.03,1.9044,52
Jason Day,33,1987,AUSTRALIA,70,1,2006,1.83,88,47,66,14,12,6,64,88.05,1.8735,47
Gary Woodland,37,1984,USA,71,12,2007,1.85,86,50,77,4,10,2,33,92.43,1.8486,50
Guido Migliozzi,24,1997,ITALY,72,68,NOT FOUND,1.8,NOT FOUND,48,49,5,4,0,6,92.48,1.9267,48
Cameron Tringale,33,1987,USA,73,55,2009,1.88,84,50,114,0,3,5,22,94.78,1.8956,50
Charl Schwartzel,36,1984,SOUTH AFRICA,74,6,2002,1.81,72,38,119,15,17,17,83,74.65,1.8662,40
Thomas Detry,28,1993,BELGIUM,75,71,NOT FOUND,1.88,70,54,31,1,7,4,18,98.73,1.8987,52
Talor Gooch,29,1991,USA,76,64,2014,1.83,91,57,51,1,2,3,13,96.09,1.8478,52
Brendon Todd,36,1985,USA,77,39,2007,1.9,82,58,145,5,2,0,24,95,1.8268,52
Matt Kuchar,43,1978,USA,78,4,NOT FOUND,1.93,88,51,144,12,18,16,83,92.74,1.8185,51
Lanto Griffin,33,1988,USA,79,49,2010,1.9,86,63,51,4,2,0,12,93.35,1.7952,52
Dylan Frittelli,31,1990,SOUTH AFRICA,80,44,2012,1.87,81,60,96,5,7,4,26,91.93,1.7679,52
Keegan Bradley,35,1986,USA,81,10,2008,1.88,86,54,77,4,9,5,32,90.91,1.7483,52
Sebastián Muñoz,28,1993,COLOMBIA,82,55,2015,1.83,81,66,68,2,3,4,17,100.76,1.9377,52
Lucas Glover,41,1979,USA,83,15,2001,1.88,88,57,177,5,2,5,53,89.42,1.7196,52
Joel Dahmen,33,1987,USA,84,58,2010,1.8,80,55,73,3,5,3,21,86.55,1.6643,52
Andy Sullivan,35,1986,UNITED KINGDOM,85,28,2011,1.75,72,50,71,4,6,5,28,81.47,1.6293,50
Rikuya Hoshino,25,1996,IBARAKI,86,69,NOT FOUND,1.86,76,40,21,5,2,1,22,66.66,1.6665,40
Troy Merritt,35,1985,USA,87,82,2008,1.83,73,66,148,3,4,3,14,83.13,1.5986,52
Daniel van Tonder,30,1991,SOUTH AFRICA,88,72,NOT FOUND,1.88,NOT FOUND,44,52,8,13,6,43,69.77,1.5857,44
Antoine Rozner,28,1993,FRANCE,89,63,2016,1.83,NOT FOUND,54,27,4,6,1,15,82.76,1.5915,52
Harold Varner III,30,1990,USA,90,73,2012,1.75,75,55,74,1,4,1,15,81.1,1.5597,52
Martin Kaymer,36,1984,GERMANY,91,1,2005,1.84,74,45,93,15,14,10,58,70.89,1.5753,45
Alex Noren,39,1982,SWEDEN,92,8,2005,1.8,77,56,87,11,6,10,54,84.3,1.6211,52
Takumi Kanaya,23,1998,JAPAN,93,76,NOT FOUND,1.72,75,23,19,3,1,1,6,61.3,1.5326,40
Justin Harding,35,1986,SOUTH AFRICA,94,42,NOT FOUND,1.83,80,60,81,9,10,5,29,83.33,1.6024,52
Jhonattan Vegas,36,1984,VENEZUELA,95,35,2008,1.9,104,51,101,4,5,5,21,78.79,1.5448,51
Dean Burmester,32,1989,ZIMBABWE,96,86,2010,1.8,76,57,69,8,4,9,31,77.41,1.4887,52
Brendan Steele,38,1983,USA,97,35,2005,1.88,79,48,110,4,3,3,36,71.13,1.4818,48
Adam Long,33,1987,USA,98,60,2010,1.78,73,64,96,1,5,2,14,76.98,1.4804,52
Sam Horsfield,24,1996,UNITED KINGDOM,99,79,NOT FOUND,1.78,NOT FOUND,48,35,2,1,2,11,72.57,1.5118,48
J.T. Poston,28,1993,USA,100,60,2015,1.85,75,60,52,1,3,2,8,76.2,1.4654,52
Chan Kim,31,1990,SOUTH KOREA,101,61,2010,1.88,105,39,49,5,4,3,18,57.59,1.4397,40
Richard Bland,48,1973,USA,102,98,NOT FOUND,1.85,89,51,219,2,10,6,41,74.73,1.4652,51
John Catlin,30,1990,USA,103,76,2013,1.85,NOT FOUND,52,58,8,5,4,23,77.96,1.4992,52
Aaron Rai,26,1995,UNITED KINGDOM,104,70,NOT FOUND,1.8,68,47,45,5,3,2,16,67.61,1.4386,47
Maverick McNealy,25,1995,USA,105,100,2017,1.85,77,57,34,0,2,2,6,73.22,1.4082,52
Rickie Fowler,32,1988,USA,106,4,2009,1.75,68,48,63,9,16,9,57,67.16,1.3991,48
Ryosuke Kinoshita,30,1991,JAPAN,107,98,NOT FOUND,1.74,75,38,43,2,2,0,13,55.97,1.3992,40
Patton Kizzire,35,1986,USA,108,51,2008,1.96,95,55,72,4,4,3,19,72.36,1.3915,52
Jason Scrivener,32,1989,SOUTH AFRICA,109,95,NOT FOUND,1.82,70,49,71,1,1,6,25,68.75,1.4031,49
Erik van Rooyen,31,1990,SOUTH AFRICA,110,40,2013,1.88,86,57,49,3,5,4,27,70.59,1.3574,52
Brandon Stone,28,1993,RUSTENBERG,111,67,2013,1.8,65,53,87,5,8,0,23,69.61,1.3387,52
Adam Hadwin,33,1987,CANADA,112,41,2009,1.73,73,52,80,5,6,4,35,69.16,1.33,52
Aaron Wise,25,1996,SOUTH AFRICA,113,49,NOT FOUND,1.85,79,46,44,3,2,3,10,62.88,1.3671,46
Martin Laird,38,1982,UNITED KINGDOM,114,21,2004,1.88,86,46,135,5,6,5,33,61.28,1.3321,46
Seamus Power,34,1987,IRELAND,115,112,2011,1.9,91,43,64,2,0,0,12,57.79,1.344,43
Danny Willett,33,1987,UNITED KINGDOM,116,9,2008,1.8,83,54,93,7,3,9,42,65.45,1.2587,52
George Coetzee,35,1986,SOUTH AFRICA,117,41,2007,1.78,95,47,103,9,7,11,44,60.24,1.2816,47
Mito Pereira,26,1995,CHILE,118,117,2015,1.83,89,50,52,4,4,3,18,72.29,1.4459,50
Joohyung Kim,19,2002,SOUTH KOREA,119,92,2018,NOT FOUND,NOT FOUND,36,6,5,5,2,11,50.06,1.2516,40
Thomas Pieters,29,1992,BELGIUM,120,23,2013,1.96,85,42,50,4,4,3,17,55.16,1.3134,42
Richy Werenski,29,1991,USA,121,101,2014,1.85,79,58,72,2,5,3,5,62.98,1.2112,52
Harry Higgs,29,1991,USA,122,91,2014,1.88,107,60,48,2,5,3,6,63.06,1.2126,52
Marcus Armitage,34,1987,UNITED KINGDOM,123,121,NOT FOUND,1.83,90,53,52,3,2,2,11,62.59,1.2036,52
Taylor Moore,27,1993,UNITED KINGDOM,124,124,2016,NOT FOUND,80,44,34,2,3,4,16,52.95,1.2035,44
Shaun Norris,39,1982,SOUTH AFRICA,125,54,NOT FOUND,1.88,82,50,120,8,8,6,31,59.22,1.1844,50
Santiago Tarrio,30,1990,SPAIN,126,121,NOT FOUND,NOT FOUND,NOT FOUND,43,32,4,5,1,16,53.73,1.2495,43
Brandt Snedeker,40,1980,USA,127,4,2004,1.85,84,52,123,12,11,10,65,61.15,1.1759,52
Henrik Norlander,34,1987,SWEDEN,128,96,2011,1.93,95,63,90,2,4,2,14,63.01,1.2117,52
Zach Johnson,45,1976,USA,129,6,1998,1.75,73,47,85,15,15,13,56,55.55,1.182,47
Kalle Samooja,33,1988,FINLAND,130,109,NOT FOUND,1.81,78,46,75,1,3,3,16,54.89,1.1934,46
Rasmus Hojgaard,20,2001,DENMARK,131,63,NOT FOUND,1.87,NOT FOUND,53,24,2,3,1,11,62.02,1.1926,52
Robert Streb,34,1987,USA,132,31,2009,1.78,75,55,111,4,3,2,21,60.31,1.1597,52
Sami Valimaki,23,1998,FINLAND,133,68,NOT FOUND,1.89,NOT FOUND,43,26,5,2,1,10,51.77,1.204,43
Stephan Jaeger,32,1989,GERMANY,134,114,2012,1.75,77,49,89,6,3,1,11,57.9,1.1816,49
Michael Thompson,36,1985,USA,135,43,2008,1.83,84,50,114,3,2,3,16,58.49,1.1699,50
Kurt Kitayama,28,1993,USA,136,66,2015,1.7,77,47,42,3,3,2,6,52.92,1.126,47
Shugo Imahira,28,1992,JAPAN,137,30,NOT FOUND,1.65,60,44,30,4,11,7,40,48.98,1.1131,44
Matthias Schwab,26,1994,AUSTRIA,138,78,2017,1.83,73,52,23,0,2,2,22,59.21,1.1387,52
Tom Lewis,30,1991,UNITED KINGDOM,139,46,2011,1.78,75,57,95,4,1,6,17,56.27,1.0821,52
Keith Mitchell,29,1992,USA,140,55,2014,1.85,84,54,54,1,2,3,17,57.08,1.0977,52
Kramer Hickok,29,1992,USA,141,126,2015,1.8,81,53,49,3,5,2,8,56.98,1.0957,52
Doc Redman,23,1997,USA,142,76,2018,1.8,79,57,27,0,3,2,2,56.23,1.0814,52
Jim Herman,43,1977,USA,143,68,2000,1.83,77,47,158,4,1,3,14,51.74,1.1009,47
Luke List,36,1985,USA,144,45,2007,1.9,82,59,152,2,6,3,24,56.28,1.0822,52
Yuki Inamori,26,1994,JAPAN,145,102,NOT FOUND,1.69,68,39,32,2,3,3,21,43.06,1.0765,40
Chez Reavie,39,1981,USA,146,26,2004,1.75,73,60,143,4,4,5,23,55.45,1.0664,52
Tom Hoge,32,1989,USA,147,98,2011,1.85,79,65,122,1,3,3,15,55.23,1.0621,52
Byeong Hun An,29,1991,SOUTH KOREA,148,24,2011,1.86,95,59,70,3,6,5,33,54.45,1.0471,52
Adrian Otaegui,28,1992,SPAIN,149,64,NOT FOUND,1.83,79,57,110,3,8,2,14,54.77,1.0532,52
Jazz Janewattananond,25,1995,THAILAND,150,38,2010,1.75,68,57,57,7,6,9,32,55.36,1.0647,52
Francesco Molinari,38,1982,ITALY,151,5,2004,1.72,72,32,89,8,15,10,66,41.64,1.041,40
Padraig Harrington,49,1971,IRELAND,152,3,1995,1.86,83,46,172,21,33,15,98,49.13,1.0681,46
Laurie Canter,31,1989,UNITED KINGDOM,153,92,NOT FOUND,1.88,80,50,70,0,4,1,10,51.54,1.0307,50
Hudson Swafford,33,1987,USA,154,75,2011,1.9,91,41,108,3,1,1,13,42.72,1.0419,41
David Lipsky,33,1988,USA,155,98,2011,1.78,73,54,81,4,6,4,22,52.62,1.0119,52
Brandon Hagy,30,1991,USA,156,154,2014,1.8,77,47,66,0,3,1,8,48,1.0212,47
Charles Howell III,42,1979,USA,157,15,2000,1.8,70,51,132,3,17,10,71,51.37,1.0072,51
Seonghyeon Kim,22,1998,SOUTH KOREA,158,158,NOT FOUND,1.8,78,39,13,3,1,1,5,39.97,0.9992,40
Wilco Nienaber,21,2000,SOUTH AFRICA,159,131,NOT FOUND,1.88,78,47,17,1,2,0,2,47.45,1.0095,47
James Hahn,39,1981,SOUTH KOREA,160,52,2003,1.85,82,35,122,5,4,4,22,39.35,0.9838,40
Sepp Straka,28,1993,AUSTRIA,161,129,2016,1.9,107,65,65,1,0,2,10,56.8,1.0922,52
Rafa Cabrera Bello,37,1984,SPAIN,162,16,2005,1.87,81,62,125,5,10,12,51,50.09,0.9632,52
Adri Arnaus,26,1994,SPAIN,163,89,NOT FOUND,1.86,NOT FOUND,51,27,3,6,2,17,50.5,0.9902,51
Mikko Korhonen,41,1980,FINLAND,164,84,NOT FOUND,1.74,77,39,88,2,3,6,28,38.63,0.9658,40
Hank Lebioda,27,1994,USA,165,163,2016,1.8,86,54,43,1,3,1,14,50.37,0.9686,52
Cameron Young,24,1997,USA,166,162,NOT FOUND,NOT FOUND,93,30,15,2,1,0,3,38.87,0.9717,40
Calum Hill,26,1994,UNITED KINGDOM,167,110,NOT FOUND,NOT FOUND,81,54,18,3,0,4,11,49.7,0.9557,52