Name,Date of Birth,Country,Gender,Height in m,Weight in kg
Baljit Singh Saini,1976,INDIA,MALE,NOT FOUND,NOT FOUND
Raghunath Vokkaliga,1988,INDIA,MALE,1.77,NOT FOUND
Harmanpreet Singh,1996,INDIA,MALE,1.8,70
Lalit Upadhyay,1993,INDIA,MALE,1.77,NOT FOUND
Adrian D'Souza,1984,INDIA,MALE,1.8,NOT FOUND
Len Aiyappa,1979,INDIA,MALE,1.73,NOT FOUND
Nilakanta Sharma,1995,INDIA,MALE,1.63,NOT FOUND
Gurjant Singh,1995,INDIA,MALE,1.83, NOT FOUND
Amit Rohidas,1993,INDIA,MALE,1.79,NOT FOUND
Armaan Qureshi,1995,INDIA,MALE,NOT FOUND,NOT FOUND
Bharat Chhikara,1985,INDIA,MALE,NOT FOUND, NOT FOUND