Name,Age,Rank,Horse,Starts,Gold,Silver,Bronze
Tapit,21,1,FLIGHTLINE,3,3,0,0
Into Mischief,17,2,LIFE IS GOOD,5,4,0,0
Speightstown,24,3,OLYMPIAD,8,6,1,0
Not This Time,8,4,EPICENTER,8,4,3,0
Keen Ice,10,5,RICH STRIKE,8,1,1,2
Dubawi,20,6,REBEL'S ROMANCE,1,1,0,0
Curlin,18,7,MALATHAAT,6,4,2,0
Gun Runner,9,8,CYBERKNIFE,9,4,2,1
Curlin,18,10,NEST,8,5,2,0
Arrogate,7,11,SECRET OATH,9,3,2,2
Violence,12,12,FORTE,5,4,0,0
Maclean's Music,14,15,JACKIE'S WARRIOR,6,4,1,1
Teofilo,18,17,NATIONS PRIDE,4,2,1,0
Upstart,10,18,ZANDON,6,1,2,3