Name,Age,Country,Rank,Points,Gold,Silver,Bronze
Yang Yung Wei,25,CHINA,1,6145,6,8,11
Garrigos Francisco,27,SPAIN,2,3508,10,5,9
Takato Naohisa,29,JAPAN,3,3450,25,2,3
Verstraeten Jorre,24,BELGIUM,4,3385,7,3,10
Nagayama Ryuju,26,JAPAN,5,3360,15,2,3
Enkhtaivan Ariunbold,27,MONGOLIA,6,3204,0,1,3
Aghayev Balabay,37,AZERBAIJAN,7,3002,4,4,4
Sardalashvili Giorgi,19,GEORGIA,8,2926,5,3,1
Nozadze Temur,24,GEORGIA,9,2867,2,4,5
Huseynov Karamat,24,AZERBAIJAN,10,2607,4,4,9
Chkhvimiani Lukhumi,29,GEORGIA,11,2561,6,3,5
Enkhtaivan Sumiyabazar,22,MONGOLIA,12,2334,1,0,1
Tsjakadoea Tornike,26,NETHERLANDS,13,2326,4,2,12
Lee Harim,25,REPUBLIC OF KOREA,14,2280,1,1,5
Kim Won Jin,30,SOUTH KOREA,15,2276,9,9,12
Shamshadin Magzhan,25,KAZAKHSTAN,16,2235,4,0,3
Lesiuk Artem,25,UKRAINE,17,2131,3,1,3
Smetov Yeldos,30,KAZAKHSTAN,18,2091,12,7,8
Pantano Angelo,25,ITALY,19,1734,1,1,2
Valadier Picard Romain,20,FRANCE,20,1725,6,2,10