S.No.,Track Title,Artist Name,Album,Writer,Othername,ISNI code,IPI code,ISRC,SESAC Work ID,SESAC Publisher,ASCAP Work ID,ASCAP Publisher,ASCAP Publishers' IPI,BMI Work ID,BMI Publisher,GMR Work ID,GMR Publisher,GMR Publishers' IPI
119,Rock Around The Clock,Bill Haley,Stray Cats Ball: No Dogs Allowed,Max C Freedman,"William John Clinton Haley, Jr.",['0000000114786233'],['00013220646'],ce9a5438-7396-40ec-a2be-459065197273,not found,not found,610360824,not found,not found,1799969,not found,not found,not found,not found
120,Here Comes The Sun,The Beatles,not found,George Harrison,not found,['0000000121707484'],not found,2bce82ed-a5dc-49f2-95e3-915a9c9244c5,712760,CAREERS BMG MUSIC PUBLISHING,380141908,HARRISONGS LTD,42089299,557846,PARKER MUSIC,100083762,HARRISONGS LTD,not found
121,You Really Got Me,The Kinks,Live à la nouvelle star,Ray Davies,Muswell Ravens,['0000000115404823'],not found,f2393e57-11c5-4ed6-b83f-1696a72e5d44,650256,CHRISTALEEP,550578679,SONY/ATV TUNES LLC,338164558,1733421,JAY-BOY MUSIC CORP,100050689,BON JOVI PUBLISHING,126061999
122,Purple Haze,Jimi Hendrix,not found,Jimi Hendrix,not found,['0000000110259073'],['00041212145'],01bce79d-7186-421e-97e8-0cbac0b28297,12853944,CAPTAINGETDOWN,460117248,EXPERIENCE HENDRIX LLC,338387727,28205641,ROBERT STERLING MUSIC PUBLISHING,not found,not found,not found
123,What A Wonderful World,Louis Armstrong,not found,Bob Thiele,not found,['0000000110198071'],['00001334546'],084e7ef5-7702-4137-aec8-05a691afeae3,507252,TWINS STING,530035800,CHAPPELL-CO INC,5876870,1629736,ABKCO MUSIC INC,not found,not found,not found
124,The Sound Of Silence,The Kinks,Rock and Roll Forever / Now Playing,Paul Simon,Muswell Ravens,['0000000115404823'],not found,47b367f8-1f53-48b4-ace2-a73c6034ea48,1059121,THINK MUSIC,884540853,GAMMA STRENGTH PUBLISHING,471724452,38656025,TUNECORE DIGITAL MUSIC,not found,not found,not found
125,A Day In The Life,The Beatles,not found,John Lennon,not found,['0000000121707484'],not found,27ae9c34-36c7-43f6-8f7d-fe775b151bc1,554564,JERSONGS,310405415,COSMIC LOUNGE MUSIC INC,337648927,282496,not found,100065813,TEMPO INVESTMENTS/SMACK HITS,not found
126,Light My Fire,The Doors,Covers 1995,Jim Morrison,Jim Morrison & the Doors,"['0000000115160232', '0000000412022725']",not found,7935d905-fa46-4c27-81eb-f3f987b5e2f7,37456,SCHMIDT-A-P CO,420138596,DOORS MUSIC COMPANY,41943490,870167,CHRIS WHITE MUSIC,not found,not found,not found
127,Paint It Black,The Rolling Stones,not found,Jagger,not found,['0000000121924040'],not found,6c8a950d-5401-44da-8726-94e22cba5b81,806530,GOOD SONGS PUBLISHING A/S,460278655,UNIVERSAL MUSIC CORPORATION,31312147,1147261,ABKCO MUSIC INC,not found,not found,not found
128,All Along The Watchtower,Jimi Hendrix,not found,Bob Dylan,not found,['0000000110259073'],['00041212145'],bf69a92d-8af9-4689-af27-7b884ec3463d,514986,All Along The Watchtower,883156235,HITS FROM DA BONG MUSIC,338093750,25467176,TUNECORE DIGITAL MUSIC,not found,not found,not found
129,Stairway To Heaven,Led Zeppelin,not found,Jimmy Page,not found,['0000000123483226'],not found,5e6a4e7f-9d6c-43f2-aac2-d567755683b5,543342,BARCAROLE PUBLISHING,490294198,SUPERHYPE PUBL INC,39888619,1400435,NEIL SEDAKA MUSIC,not found,not found,not found
130,God Only Knows,The Beach Boys,not found,Bran Wilson,not found,['0000000121941107'],not found,fd5b85ef-0935-4f73-a944-8e78a550b736,546292,GUYER SONGS,370128433,COLGEMS EMI MUSIC INC,10397316,484174,MARQUIS SONGS USA,not found,not found,not found
131,Family Affair,Mary J Blige,"Hot 97: Blazing Hip-Hop and R&B, Volume 19",Mary J Blige,Mary J.Blidge,['000000006310393X'],['00336896223'],971f0c5a-a000-4d86-a456-dd1957ce7645,567855,AIN'T NOTHING BUT FUNKIN' MUSI,360005067,not found,not found,5577656,COLORSCAPES PUBLISHING,not found,not found,not found
132,Pyramid Song,Radiohead,Amnesiac,Radiohead,r/head,['0000000115475162'],not found,45e6908d-b34d-422f-b7a1-1f37e18f9aa0,not found,not found,460463098,WARNER CHAPPELL MUSIC LTD,160187388,1213776,UNICHAPPELL MUSIC INC,not found,not found,not found
133,My City of Ruins,Bruce Springsteen,Greetings From Asbury Park,Bruce Springsteen,The Boss,['0000000121418834'],['00076333277'],707d38e8-c4bb-42a8-ab24-838bef92a062,688604838,ZFC MUSIC,430700208,not found,not found,not found,not found,100051665,SPRINGSTEEN BRUCE,36951665
134,Heartbeats,The Knife,not found,Karin Dreijer,not found,not found,not found,25e4be39-206d-484e-aea3-0871dcf4fad2,53653,DOTS AND LINES INK,380031983,not found,not found,547568,BMG PLATINUM SONGS US,100064011,SPRUCE ROAD PUBLISHING,799432288
135,Try Again,Aaliyah,I Care 4 U,Stephen Garrett,Aaliyah Dana Haughton,['0000000059585374'],not found,3485853e-e8cc-4d15-97cb-ba74f9f273d7,88448,CINETICS MUSIC,500120390,WALT DISNEY MUSIC COMPANY,580810454,1550800,SONGS OF UNIVERSAL INC,100078077,FOX GLOBAL MUSIC INC,801538365
136,Stillness Is the Move,Dirty Projectors,NBA2K13,not found,The Dirty Projectors,not found,not found,291a3267-b560-410a-bc33-e66fb4a26156,687017,MEMORY FOAM,not found,not found,not found,16445813,EASY TEMPO,not found,not found,not found
137,Standing in the Way of Control,Gossip,Leave Them All Behind 2,Hannah Blilie,The Gossip,not found,not found,8aa38ad1-378f-428a-a108-c067f62c7e1f,not found,not found,493203815,DARK LIVES MUSIC,484372531,not found,not found,not found,not found,not found
138,Dirt Off Your Shoulder,Jay-D,The Black Album,Shawn Carter,not found,not found,not found,9d4c57fe-ba72-40d5-8bf0-c9c85825bee0,not found,not found,340964578,CARTER BOYS MUSIC,586631515,7427244,BIG BAD MR HAHN MUSIC,not found,not found,not found
139,Get The Party Started,P!nk,Live From Wembley Arena,Linda Perry,Pink,['000000012028175X'],['00342943558'],9f8d6ce7-6fd3-4f9c-a9f5-80b9805ef88e,not found,not found,370990055,CLOVER BEATS SONGS,880157722,14387559,THE REDEMPTIVE PROCESS,not found,not found,not found
140,Gone Gone Gone,Phillip Phillips,iTunes Session,Derek Fuhrmann,Philips Philip,['0000000381070950'],['00688226308'],b45d16cf-c4bf-4bfa-b9c2-245a5423b18c,1458,VAUGHAN JAMES D MUSIC PUBLISHER,370038263,DUBOSE AND DOROTHY HEYWARD MEMORIAL FUND PUB,239948418,539929,GOOD OL HARLAN SONGS,100002948,not found,334307783
141,Not Ready to Make Nice,The chicks,Playlist: The Very Best of Dixie Chicks,The Chicks,The Dixie Chicks,not found,not found,84f946f0-6653-4ce9-83cd-585f060291db,not found,not found,441117337,BMG MONARCH,744673419,8055950,SONGS OF KOBALT MUSIC PUBLISHING,not found,not found,not found
142,Hung Up,Madonna,not found,Madonna,not found,['000000010782262X'],"['00125053706', '00128246872', '00211854787']",31a6b752-291c-456f-ade5-f4b85545e6df,13407,H T FITZSIMONS CO INC,380599568,DICK LITTLE PUBLISHING,342839647,15507115,ALEXEI MISOUL MUSIC,100061283,WE ARE CREATIVE NATION,816507735
143,Wolf Like Me,Tv on the Radio,"2008-10-11: Lupo's Heartbreak Hotel, Providence, RI, USA",Tunde Adebimpe,not found,['0000000121781377'],not found,77e99530-723f-47d9-825e-06a22e79a981,not found,not found,531838316,BMG MONARCH,744673419,15463941,CD BABY BETA,not found,not found,not found
144,No One Knows,Queens of the Stone Age,Dave Fanning's Fab 50 Vol. 2,Josh Homme,Queen Of Stoneage,['0000000086738559'],not found,c132709c-ad22-4279-86f0-344c9cf0e8f3,108209,CLAYTON-NORMAN PUBL CO,440028882,3 SEAS MUSIC CORPORATION,337998108,6139627,BOARDSTIFF MUSIC INC,100051395,not found,not found
145,Use Somebody,Kings Of Leon,2Cellos,Caleb Followill,not found,['0000000122901684'],not found,8c0e7d66-7b55-4cf8-9597-6d8dd5472468,51865970,EMI APRIL MUSIC INC,884869871,ANOZIRA PUBLISHING,419184354,9856673,not found,not found,not found,not found
146,I Bet You Look Good On The Dance Floor,Arctic Monkeys,Isles of Wonder: Music for the Opening Ceremony of the London 2012 Olympic Games,Alex Turner,The Arctic Monkeys,['000000012270850X'],not found,ec158537-8def-4dec-924f-94d976a0fad8,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
147,Viva La Vida,Coldplay,Big Hits - 2009,Guy Berrymen,Cold Play,['000000011551394X'],not found,5ce88d3e-fff7-4da9-a02e-8399b9241d30,1060578,UNIVERSAL MUSIC PUBLISHING S A,520017723,EMI FEIST CATALOG INC,128632770,886854,SCREEN GEMS-EMI MUSIC INC,not found,not found,not found
148,Boulevard of Broken Dreams,Green day,Thaumatrope,Billie Joe Armstrong,Greenday,['0000000122711282'],not found,9ec5ecee-92b3-4aa8-aeeb-c866da2dec11,575878,GREEN DAZE MUSIC,320082120,WARNER BROS INC (WARNER BROS MUSIC DIV),58855632,143067,LONPORT MUSIC INC,not found,not found,not found
149,Vertigo,Irish rock band U2,Vertigo in Mexico City,Thomas Narcejac,U2 Kiwi,['0000000121505903'],not found,cf4ce2dd-a10e-45e9-81c1-259720f34d87,160770,FILMTRAX INC,220036977,WC MUSIC CORP,53026414,1584458,EMI GOLD HORIZON MUSIC CORP,100002799,ROCK DOG MUSIC,125248492
150,Are You Gonna Be My Girl,Australian rock band Jet,Greatest Ever! Festival Anthems: The Definitive Collection,Nic cester,not found,not found,not found,d56397e4-e84d-4e98-b1a0-271ef88b9a8f,not found,not found,310600025,BMG RIGHTS MANAGEMENT (AUSTRALIA) PTY LTD,803377056,3800482,LOOKS MUSIC,not found,not found,not found
151,Irreplaceable,Beyonce,"Planète Rap 2007, Volume 2",Shaffer Smith,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],8fc91e1d-9ba4-4a02-94d5-d0077700a04b,663229,ZODLOUNGE MUSIC,390804281,DECEMBER 10TH,462557050,7968400,STELLAR SONGS LIMITED,not found,not found,not found
152,Hard to Explain,The strokes,not found,Julian Casablancas,not found,['0000000115477790'],not found,46bd3ddd-d910-4fa1-8eb5-9d6053f3794b,not found,not found,380519966,BMG GOLD SONGS,601191692,526770,SAY-BAH MUSIC,not found,not found,not found
153,Fell In Love With a Girl,The White Stripes,"Random Remixes, Vol.6",Jack White,The Redd & White Stripes,['0000000122537931'],not found,aff1e933-6d14-449b-8d1f-5d40e8128963,not found,not found,881780485,SOUNDFILE PUBLISHING,451979225,5807803,PEPPERMINT STRIPE MUSIC,not found,not found,not found
154,New Slang,The shins,"2003-09-21: Austin City Limits, Austin, TX, USA",James Mercer,Shins,not found,not found,978cf28a-6877-4bef-9310-644ca8b67273,702009,SONGS OF IONIC MUSIC,894702844,CD BABY ALPHA MUSIC,697403510,5739412,LETTUCE FLAVORED MUSIC,not found,not found,not found
155,The Scientist,Coldplay,LIVE - Paris 2008.02.27,Chris Martin,Cold Play,['000000011551394X'],not found,10499007-499b-4ac3-a762-a20c6baa8430,517234,MARCELLI MUSIC,501633898,MOSH RAVE PUBLISHING,448476126,8009296,BRUIN MUSIC COMPANY,not found,not found,not found
156,House of Jealous Lovers,The Rapture,Echoes Remixes,Luke Jenner,not found,['0000000106727153'],not found,6511ecfb-990c-43f4-98d1-dc5b78ee9eb0,not found,not found,380602982,HUNG UP ON A DREAM,408068270,not found,not found,not found,not found,not found
157,Beautiful,Christina Aguilera,Keeps Gettin' Better: A Decade of Hits,Linda Perry,Christina Aquilera,['000000005518483X'],['00426316475'],d5c1f675-551b-41a3-9da0-08dbcf93b07e,2749,BROADMAN-PRESS,320027387,JEWEL MUSIC PUBLISHING CO INC,15310339,6340394,EMI BLACKWOOD MUSIC INC,100055514,APOCRAPHEX,437803450
158,Single Ladies,Beyonce,Life Is but a Dream / Live in Atlantic City,Beyonce ,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],92e37099-d566-41ce-9e67-af0063f00509,not found,not found,496106737,2082 MUSIC PUBLISHING,461641073,13976976,CONCORD COPYRIGHTS,not found,not found,not found
159,Mr. Brightside,The Killers,We Won't Stop: A Compilation of Covers for ACLU,Brandon Flowers,"Killers, The",not found,not found,d6723cb9-6825-4bbc-acd3-e1f2536f2b7c,not found,not found,not found,not found,not found,5712077,not found,not found,not found,not found
160,American Idiot,Green day,American Idiot,Billie Joe Armstrong,Greenday,['0000000122711282'],not found,c7132ece-10b8-4e0e-93b2-5877fde280c6,1043368,GREEN DAZE MUSIC,311261195,V P G,447025371,26836668,CORE CATALOG,not found,not found,not found
161,Wake Up,The Vamps,"NOW 2016, Vol. 1",Hilary Duff,not found,not found,not found,3ef2432a-f263-4060-9367-644a5f2e8bbc,455,NEUTRINO MUSIC,230073275,not found,not found,28011587,EMI BLACKWOOD MUSIC INC,100068233,FOX GLOBAL MUSIC INC,801538365
162,All My Friends,Snakehips,Annie Mac Presents 2016,Snakehips ,not found,not found,not found,e37b6084-f876-41a3-ad18-c1d504972c92,697953984,UNIVERSAL POLYGRAM INTERNATIONAL TUNES INC,310134100,CHAPPELL-CO INC,5876870,8677292,BMG BUMBLEBEE,100071213,MUSIC BY SMITH,847397783
163,Clint Eastwood,Gorillaz,Gorillaz (Un-mastered Tracks),Damon Albarn,Gorilaz,['0000000114814345'],not found,5ae5489b-54bb-48f5-9df2-fd42720d66d0,957100,BMG CICADA,330723212,HAPPY HEMP MUSIC,341482380,5450554,EMI BLACKWOOD MUSIC INC,not found,not found,not found
164,Losing My Edge,LCD soundsystem,Shut Up and Play the Hits,James murphy,LCD sound system,['0000000107245674'],not found,2f8c6c63-a8a4-4ab5-a25d-377f9ef77305,54784686,BYRDHOUSE MUSIC,421476915,GUY WITH HEAD AND ARMS MUSIC,461281861,23917220,BMG PLATINUM SONGS US,not found,not found,not found
165,Moment of Surrender,U2,"2010-10-08: Stadio Olimpico, Rome, Italy",U2,U2 Kiwi,['0000000121505903'],not found,b1f3562f-ab9b-429a-aaa6-3a5ac8e96b22,not found,not found,433831115,UNIVERSAL MUSIC CORPORATION,31312147,10433626,UPALA MUSIC INC,not found,not found,not found
166,One More Time,Daft punk,BEST OF ELECTRO STEP,Max Martin,Duft Punk,['0000000123531208'],not found,eb2afe23-cdb8-4809-9498-7b95443904c4,117295,ROBERTS & BRADSHAW MUSIC,150023382,not found,not found,5404295,TTUFF TTONY MUSIC,100054101,HUDMAR PUBLISHING CO INC,14526117
167,Take Me Out,Franz Ferdinand,"Live at Forest National Club, Brussels",Alex Kapranos,"Ferdinand, Franz",not found,not found,cb7ee449-3ae8-4eb7-b864-c90716cd60bf,148345,JERRY LA ROSA MUSIC,500345620,UNIVERSAL MUSIC CORPORATION,31312147,1450617,not found,not found,not found,not found
168,A Few Words in Defense of Our Country,Randy Newman,Harps and Angels,not found,Randall Stuart Newman,['0000000108970392'],"['00022282811', '00125728769']",f91e2fe1-105c-4a18-ab73-388fda0caeb1,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
169,Such Great Heights,The Postal Service,The Best Imitation of Myself: A Retrospective (Radio Modules & Sampler),Ben Gibbard,Postal Service,['0000000094875326'],not found,2e11178f-3a19-44fb-b02f-c7394f7021c9,not found,not found,885771900,NEBO RIDGE PUBLISHING,126174393,6230492,DYING SONGS,not found,not found,not found
170,Everything in Its Right Place,Radiohead,"2003-06-02: Musique Plus, Montréal, QC, Canada",Radiohead,r/head,['0000000115475162'],not found,ac56d103-b8d5-42aa-a8e3-36679006554f,not found,not found,350273377,WARNER CHAPPELL MUSIC LTD,160187388,25285812,B LION MUSIC,not found,not found,not found
171,Cry Me a River,Justin Timberlake,100x Liefde: Editie 2010,Justin Timberlake,Justin Randall Timberlake,['000000011450569X'],['00345256954'],52c5b750-04ee-4fdb-b37d-289f049759c3,26921,J M HENSON MUSIC CO,330112417,CHAPPELL-CO INC,5876870,261641,EMBASSY MUSIC CORPORATION,not found,not found,not found
172,Since U Been Gone,Kelly Clarkson,Since U Been Gone,Max Martin,Kelly Brianne Clarkson,['0000000114370895'],not found,21414608-fdb0-4f3f-b6dd-de7e10f3ceaf,984334,TIGERSX MUSIC,492351952,THE NEIGHBORHOOD CREW PUBLISHING CO,349420852,17552528,not found,not found,not found,not found
173,Lose Yourself,Eminem,Piece of Mind,Eminem,Ominem,"['0000000117699370', '0000000368611900']","['00354929235', '00354929431']",6ecec9d0-9938-47eb-b6ae-7f92b35ea605,94038,INCONNU EDITEUR,420634282,REDD MONSTER PUBLISHING,338714548,6152528,EIGHT MILE STYLE MUSIC,100001861,MORE WATER FROM NAZARETH PUBLISHING INC,602234598
174,Time to Pretend,Brooklyn Vegan,"Hipster Dinner Party, Volume 1",not found,not found,not found,not found,2be18a03-f235-49a5-bd66-cda1de20b0a6,645559,OLD MAN FUTURE,502854531,FORSTER MUSIC PUBLISHER INC,10561238,12692433,BASED OUT MUSIC PUBLISHING,not found,not found,not found
175,Beautiful Day,Tom Hanks,X-Ray Sierra,U2,not found,['0000000121232378'],not found,fb597068-f813-4a6b-aba1-70ee51e64806,10607,HALDOR LILLENAS,320162598,MARLOWLYNN LTD,160210919,16126288,ACHTOBER SONGS,100055005,not found,not found
176,Seven Nation Army,Kake,not found,Jack White,not found,not found,not found,94c5ce06-0273-4e0f-be68-bf4a510e418c,767800,1980 PUBLISHINGS,883982004,EMI MUSIC PUBLISHING LTD,87019563,6406560,PEPPERMINT STRIPE MUSIC,not found,not found,not found
177,Paper Planes,Remi wolf,Paper Planes,Robert Connolly,not found,not found,not found,2f44f68f-2f87-4ef9-baf9-5c8b4d1fd800,663669,LIEDELA MUSIC,461849974,not found,not found,9882699,EMI BLACKWOOD MUSIC INC,100033249,TEMPO INVESTMENTS/SMACK HITS,not found
178,Crazy in Love,Beyonce,Crazy in Love (The Remixes),Rich Harrison,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],da51898a-e78d-40b6-895f-519451089e50,507905,ASIAMARK PUBLISHING,330302177,EMI JEMAXAL MUSIC INC,340111233,6483135,EMI BLACKWOOD MUSIC INC,100058608,WARNER-GRANDVIEW MUSIC,not found
179,99 Problems,Jay-Z,The Double Black Album,Shawn Carter,Shawn Corey Carter,"['0000000118335528', '0000000368615389']","['00240089393', '00240089491', '00240089589']",6971c5c6-627b-4f92-9278-f14410f034fb,48044,LILLENAS PUBLISHING CO,440227514,AMMO DUMP,333946844,6810466,UNIVERSAL MUSIC CAREERS,not found,not found,not found
180,In Da Club,Rick Ross,Walking on Water 2,Dr Dre,W. Roberts,"['0000000058867353', '0000000368399292']","['00418516166', '00418516362']",d38a9c66-158c-46a2-8a0b-db22f5be11f9,17538,BARNHOUSE-C-L CO,390729167,MUSIQUE ET MUSIC,149008284,7394896,C AMORE MUSIC,not found,not found,not found
