Name,Age,Date of Birth,Gender,Country,Rank,WPA Number,US Open Points,Austria Open Points,World Cup Points,Total Points
"Ouschan, Albin",31,1990,MALE,AUSTRIA,1,EPBF - 018,2990,1750,1500,23065
"Oi, Naoyuki",39,1983,MALE,JAPAN,2,APBU - 030,5905,NOT FOUND,4500,21005
"Yapp, Aloysius",25,1996,MALE,SINGAPORE,3,APBU - 028,7090,NOT FOUND,3750,19920
Omar Al Shaheen,29,1992,MALE,KUWAIT,4,APBU - 072,2205,NOT FOUND,2500,19430
"Lechner, Maximilian",31,1990,MALE,AUSTRIA,6,EPBF - 088,4725,1200,2000,17475
"Van Boening, Shane",38,1983,MALE,USA,7,BCA - 007,3940,NOT FOUND,3000,16790
"Gorst, Fedor",21,2000,MALE,RUSSIA,5,EPBF - 087,4725,NOT FOUND,1500,18800
"Sanchez-Ruiz, Francisco",30,1991,MALE,SPAIN,8,EPBF - 011,3940,2100,500,16245
Oliver Szolnoki,24,1997,MALE,HUNGARY,9,EPBF - 107,2990,NOT FOUND,2000,16207.5
"He, Mario",28,1993,MALE,AUSTRIA,10,EPBF - 017,3940,NOT FOUND,2000,16115
"Fortunski, Mieszko",29,1992,MALE,POLAND,11,EPBF - 032,3940,NOT FOUND,2000,15350
"Alcaide, David",43,1978,MALE,SPAIN,12,EPBF - 010,3940,NOT FOUND,1500,15027.5
"Grabe, Dennis",31,1990,MALE,ESTONIA,13,EPBF - 020,3940,NOT FOUND,1750,14715
"Juszczyszyn, Konrad",28,1993,MALE,POLAND,17,EPBF - 021,2600,NOT FOUND,3000,13880
"Souquet, Ralf",53,1968,MALE,GERMANY,18,EPBF - 019,2205,1750,2000,13480
"Biado, Carlo",38,1983,MALE,PHILIPPINES,20,APBU - 029,7875,NOT FOUND,3000,13225
"Kazakis, Alexander",30,1991,MALE,GREECE,21,EPBF - 025,2205,NOT FOUND,1750,12755
Tyler Styer,27,1995,MALE,USA,16,BCA - 093,1420,3125,1500,14000
"Immonen, Mika",49,1972,MALE,FINLAND,15,EPBF - 024,1995,1750,1500,14070
"Hohmann, Thorsten",42,1979,MALE,GERMANY,19,EPBF - 005,1785,NOT FOUND,2000,13460
Wiktor Zieliński,21,2001,MALE,POLAND,23,EPBF - 042,2205,NOT FOUND,2000,12235
Jonas Souto Comino,21,2001,MALE,SPAIN,24,EPBF - 158,1995,NOT FOUND,1500,12200
"Kaci, Eklent",22,1999,MALE,ALBANIA,25,EPBF - 073,2600,3500,5000,12150
Roberto Gomez,43,1978,MALE,PHILIPPINES,26,APBU - 058,1785,NOT FOUND,NOT FOUND,12105
"Filler, Joshua",24,1997,MALE,GERMANY,27,EPBF - 006,2990,NOT FOUND,1750,12090
"Shaw, Jayson",33,1988,MALE,UNITED KINGDOM,14,EPBF - 008,2990,NOT FOUND,3000,14265
"Orcullo, Dennis",42,1979,MALE,PHILIPPINES,28,APBU - 301,5905,NOT FOUND,500,11755
Badar Alawadhi,31,1990,MALE,KUWAIT,29,BCA - 003,1785,NOT FOUND,2500,11685
"Morra, John",32,1989,MALE,CANADA,22,EPBF - 016,3940,NOT FOUND,1750,12640
Marco Teutscher,29,1992,MALE,NETHERLANDS,31,EPBF - 016,3940,NOT FOUND,2500,10915
"Lombardo, Hunter",22,2000,MALE,USA,30,BCA - 009,1785,NOT FOUND,500,11535
"Woodward, Skyler",28,1993,MALE,USA,32,BCA - 004,2600,NOT FOUND,1750,10475
Chris Robinson-Reinhold,24,1997,MALE,USA,33,BCA - 071,1995,1375,1500,9895
"Chinakhov, Ruslan",30,1992,MALE,RUSSIA,34,EPBF - 035,1050,NOT FOUND,1500,9825
"Deuel, Corey",44,1977,MALE,USA,35,BCA - 010,1785,NOT FOUND,1750,9410
"Garcia, Roland",42,1979,MALE,PHILIPPINES,36,APBU - 146,2205,NOT FOUND,1750,9235
"Sanjin, Pehlivanovic",20,2001,MALE,BOSNIA,37,EPBF - 064,1995,1750,1500,9120
Marc Bijsterbosch,28,1993,MALE,NETHERLANDS,38,EPBF - 044,2990,1750,NOT FOUND,9115
"Kaplan, Tomasz",38,1984,MALE,POLAND,39,EPBF - 084,2600,1200,NOT FOUND,9050
"Chua, Johann Gonzales",29,1992,MALE,PHILIPPINES,40,APBU - 007,4725,NOT FOUND,3750,8950
"Thorpe, Billy",25,1996,MALE,USA,41,BCA - 079,2205,NOT FOUND,2500,8680
Pijus Labutis,24,1997,MALE,LIETUVA,42,EPBF - 085,2205,NOT FOUND,NOT FOUND,8330
"Appleton, Darren",43,1978,MALE,UNITED KINGDOM,43,EPBF - 034,2990,NOT FOUND,500,7915
Kang Lee,20,2001,MALE,USA,44,BCA - 094,1995,1050,NOT FOUND,7675
"Pagulayan, Alex",43,1978,MALE,CANADA,46,BCA - 001,1995,NOT FOUND,2500,7595
Mickey Krause,21,2000,MALE,DENMARK,47,EPBF - 129,2990,NOT FOUND,NOT FOUND,7520
Daniel Schneider,26,1995,MALE,USA,48,BCA - 116,2205,NOT FOUND,NOT FOUND,7455
"Sniegocki, Mateusz",37,1985,MALE,POLAND,49,EPBF - 028,1995,2575,NOT FOUND,7195
"Feijen, Niels",44,1977,MALE,DUTCH,50,EPBF - 013,2990,1375,NOT FOUND,6990
"Szewczyk, Wojciech",27,1994,MALE,POLAND,51,EPBF - 029,2600,1750,NOT FOUND,6975
"Fisher, Kelly",43,1978,FEMALE,UNITED KINGDOM,1,EPBF - 051,NOT FOUND,1250,8000,12526
"Chen, Siming",28,1993,FEMALE,CHINA,2,APBU - 088,NOT FOUND,NOT FOUND,3100,11320
"Yu, Han",29,1992,FEMALE,CHINA,3,APBU - 090,NOT FOUND,NOT FOUND,4000,10180
"Amit, Rubilen",40,1981,FEMALE,PHILIPPINES,4,APBU - 102,NOT FOUND,NOT FOUND,4750,10073
"Ouschan, Jasmin",36,1986,FEMALE,AUSTRIA,5,EPBF - 052,NOT FOUND,NOT FOUND,6500,9776
"Liu, Sha Sha",NOT FOUND,NOT FOUND,FEMALE,CHINA,6,APBU - 089,NOT FOUND,NOT FOUND,4000,8180
Xiao-Fang Fu,35,1986,FEMALE,CHINA,7,APBU - 188,NOT FOUND,NOT FOUND,4000,7457
Zhang Muyan,NOT FOUND,NOT FOUND,FEMALE,CHINA,8,APBU - 274,NOT FOUND,NOT FOUND,3100,6376
"Chou, Chieh-Yu",35,1986,FEMALE,TAIWAN,9,APBU - 106,NOT FOUND,NOT FOUND,2400,5876
"Huan, Qingning",NOT FOUND,NOT FOUND,FEMALE,CHINA,10,APBU - 187,NOT FOUND,NOT FOUND,3100,5557
"Zhou, Doudou",NOT FOUND,NOT FOUND,FEMALE,CHINA,11,APBU - 163,NOT FOUND,NOT FOUND,5250,5250
Margarita Fefilova,24,1997,FEMALE,BELARUS,12,EPBF - 063,NOT FOUND,400,3100,5160
"Tkach, Kristina",23,1999,FEMALE,RUSSIA,13,EPBF - 046,NOT FOUND,800,2400,5060
"Hiraguchi, Yuki",NOT FOUND,NOT FOUND,FEMALE,JAPAN,14,APBU - 167,NOT FOUND,NOT FOUND,2400,5057
"Kawahara, Chichiro",37,1985,FEMALE,JAPAN,14,APBU - 095,NOT FOUND,NOT FOUND,2400,5057
"Chen, Chia Hua",NOT FOUND,NOT FOUND,FEMALE,TAIWAN,16,APBU - 155,NOT FOUND,NOT FOUND,1550,5007
"Chen, Ho-Yun",NOT FOUND,NOT FOUND,FEMALE,TAIWAN,17,APBU - 107,NOT FOUND,NOT FOUND,3100,4960
"Wei, Tzu-Chien",NOT FOUND,NOT FOUND,FEMALE,TAIWAN,17,APBU - 108,NOT FOUND,NOT FOUND,3100,4960
"Park, Eun Ji",39,1983,FEMALE,KOREA,17,APBU - 100,NOT FOUND,NOT FOUND,3100,4960
"Liu, Xiazhi",NOT FOUND,NOT FOUND,FEMALE,CHINA,20,APBU - 245,NOT FOUND,NOT FOUND,2400,4857
"Chezka, Centeno",22,1999,FEMALE,PHILIPPINES,20,APBU - 103,NOT FOUND,NOT FOUND,2400,4857
Bui Xuan Vang,NOT FOUND,NOT FOUND,FEMALE,VIETNAM,22,APBU - 112,NOT FOUND,NOT FOUND,2400,4260
"Ge, Bai",NOT FOUND,NOT FOUND,FEMALE,CHINA,23,APBU - 114,NOT FOUND,NOT FOUND,4000,4000
Wang Wan-Ling,NOT FOUND,NOT FOUND,FEMALE,TAIWAN,24,APBU - 118,NOT FOUND,NOT FOUND,3100,3500
"Ivanovskaya, Veronika",26,1995,FEMALE,GERMANY,25,EPBF - 054,NOT FOUND,800,1550,2825
Vania Franco,43,1978,FEMALE,PORTUGAL,26,EPBF - 126,NOT FOUND,400,2400,2800
Yvonne Ullmann-Hybler,NOT FOUND,NOT FOUND,FEMALE,GERMANY,27,EPBF - 094,NOT FOUND,125,2400,2525
Bernarda Soledad Ayala,NOT FOUND,NOT FOUND,FEMALE,ARGENTINA,28,CPB - 014,NOT FOUND,NOT FOUND,600,2460
"Wang, Xiaotong", NOT FOUND,NOT FOUND,FEMALE,CHINA,29,APBU - 084,NOT FOUND,NOT FOUND,2400,2400
"Chen, Ruolin",NOT FOUND,NOT FOUND,FEMALE,CHINA,29,APBU - 247,NOT FOUND, NOT FOUND,2400,2400
"Ticoalu, Angeline",NOT FOUND,NOT FOUND,FEMALE,INDONESIA,29,APBU - 172,NOT FOUND,NOT FOUND,2400,2400
"Lim, Yun-Mi",NOT FOUND,NOT FOUND,FEMALE,KOREA,29,APBU - 099,NOT FOUND,NOT FOUND,2400,2400
Fan Langtong,NOT FOUND,NOT FOUND,FEMALE,CHINA,29,APBU - 288,NOT FOUND,NOT FOUND,2400,2400
Eylul Kibaroglu,33,1988,FEMALE,TURKEY,29,EPBF - 128,NOT FOUND,NOT FOUND,2400,2400
Mou Ko Yu,NOT FOUND,NOT FOUND,FEMALE,TAIWAN,29,APBU - 289,NOT FOUND,NOT FOUND,2400,2400
"Kajatani, Akimi",NOT FOUND,NOT FOUND,FEMALE,JAPAN,36,APBU - 096,NOT FOUND,NOT FOUND,1550,2150
Jessica Tan Hui Ming,NOT FOUND,NOT FOUND,FEMALE,SINGAPORE,37,APBU - 104,NOT FOUND,NOT FOUND,600,2060
Yana Shut,24,1997,FEMALE,BELARUS,38,EPBF - 091,NOT FOUND,NOT FOUND,1550,2025
Konishi Samia,NOT FOUND,NOT FOUND,FEMALE,JAPAN,39,APBU - 294,NOT FOUND,NOT FOUND,1550,1950
Hung Meng Hsia Bean,NOT FOUND,NOT FOUND,FEMALE,TAIWAN,40,OPBA - 008,NOT FOUND,NOT FOUND,NOT FOUND,1860
"Xia, Yuying",NOT FOUND,NOT FOUND,FEMALE,CHINA,41,APBU - 162,NOT FOUND,NOT FOUND,1550,1550
Ewa Bak,NOT FOUND,NOT FOUND,FEMALE,POLAND,41,EPBF - 111,NOT FOUND,NOT FOUND,1550,1550
Lee Woo Jin,NOT FOUND,NOT FOUND,FEMALE,KOREA,41,APBU - 248,NOT FOUND,NOT FOUND,1550,1550
Wang Ying,NOT FOUND,NOT FOUND,FEMALE,CHINA,41,APBU - 290,NOT FOUND,NOT FOUND,1550,1550
Daria Holieva,NOT FOUND,NOT FOUND,FEMALE,UKRAINE,41,EPBF - 124,NOT FOUND,NOT FOUND,1550,1550
Monika Margeta,46,1975,FEMALE,SWEDEN,41,EPBF - 123,NOT FOUND,NOT FOUND,1550,1550
Chiang Shui Ching,28,1993,FEMALE,TAIWAN,41,APBU - 291,NOT FOUND,NOT FOUND,1550,1550
Wang Sijia,NOT FOUND,NOT FOUND,FEMALE,CHINA,41,APBU - 292,NOT FOUND,NOT FOUND,1550,1550
Melanie Suessenguth,37,1984,FEMALE,GERMANY,41,EPBF - 050,NOT FOUND,NOT FOUND,1550,1550
Floriza Andal,NOT FOUND,NOT FOUND,FEMALE,PHILIPPINES,41,APBU - 293,NOT FOUND,NOT FOUND,1550,1550