Name,Age,Country,Rank,Medals,Gold,Silver,Bronze
Cielo Filho Cesar,36,BRAZIL,6,27,16,2,9
Bousquet Frederick,41,FRANCE,2,15,4,4,7
Dressel Caeleb,26,USA,3,39,29,7,3
Proud Benjamin,28,UNITED KINGDOM,7,21,7,9,5
Manaudou Florent,32,FRANCE,11,23,12,7,4
Callus Ashley,43,AUSTRALIA,11,16,5,8,3
Bovell George,39,CANADA,13,44,13,20,11
Leveaux Amaury,37,FRANCE,16,12,2,7,3
Morozov Vladimir,30,RUSSIA,17,219,139,51,29
Fratus Bruno,33,BRAZIL,17,9,2,4,3
Sullivan Eamon,37,AUSTRALIA,19,16,6,7,3
Sjoestroem Sarah,29,SWEDEN,1,164,92,51,21
Steffen Britta,39,GERMANY,3,36,20,7,9
Blume Pernille,28,DENMARK,5,17,5,4,8
Campbell Cate,30,MALAWI,6,92,50,24,18
Mckeon Emma,28,AUSTRALIA,9,79,32,26,21
Kromowidjojo Ranomi,32,NETHERLANDS,14,162,69,55,38
Alshammar Therese,45,SWEDEN,19,164,105,36,23
Halsall Fran,32,UNITED KINGDOM,28,28,8,10,10
Veldhuis Magdalena,43,NETHERLANDS,28,46,25,12,9
Liu Xiang,26,CHINA,33,11,7,3,1
Kromowidjojo Ranomi,32,NETHERLANDS,33,162,69,55,38