Name,Age,Date of Birth,Country,Gender,Rank,Weight in kg,Points
Vladislav Larin,26,1995,RUSSIA,MALE,20,80,1.051
Icaro Miguel Martins Soares,27,1995,BRAZIL,MALE,293,74,421
Emre Kutalmis Atesli,21,2001,TURKEY,MALE,255,80,450
Ivan Sapina,22,1999,CROATIA,MALE,451,74,330
Cheick Sallah Cisse,28,1993,COTE D IVOIRE,MALE,35,74,893
Carlos Sansores,25,1997,MEXICO,MALE,331,80,400
Kyo Don In,30,1992,SOUTH KOREA,MALE,52,74,839
Ivan Garcia Martinez,25,1997,SPAIN,MALE,1.12,80,179
Jonathan Healy,25,1997,USA,MALE,294,80,421
Dejan Georgievski,23,1999,NORTH MACEDONIA,MALE,477,80,319
Smaiyl Duisebay,26,1996,KAZAKHSTAN,MALE,335,80,395
Milad Beigi Harchegani,31,1991,IRAN,MALE,60,74,810
Rafael Alba,29,1993,CUBA,MALE,87,80,703
Sajjad Mardani,34,1988,IRAN,MALE,63,80,798
Maicon Siqueira,29,1993,BRAZIL,MALE,318,80,390
Radik Isaev,32,1989,RUSSIA,MALE,72,80,763
Ayoub Bassel,26,1996,MOROCCO,MALE,1.033,80,189
Roberto Botta,26,1996,ITALY,MALE,325,74,402
Alexander Bachmann,28,1994,GERMANY,MALE,138,74,589
Bryan Salazar,27,1994,USA,MALE,491,80,313
Ahmad Rawy,34,1987,NOT FOUND,MALE,2.379,63,93
Daniel Ros GÃ³mez,28,1993,SPAIN,MALE,292,74,421
Rafail Aiukaev,26,1996,AZERBAIJAN,MALE,464,80,323
Ivan Konrad Trajkovic,30,1991,CROATIA,MALE,49,74,844
Omar El Yazidi,27,1995,FRANCE,MALE,356,80,384
Partik Divkovic,23,1999,SLOWENIEN,MALE,853,74,215
Ruslan Zhaparov,26,1996,KAZAKHSTAN,MALE,339,80,392
Caden Cunningham,19,2003,GREAT BRITAIN,MALE,2.659,80,84
Zhaoxiang Song,25,1997,CHINA,MALE,1.323,80,155
Seydou Gbane,30,1992,IVORIAN,MALE,219,74,490
Matea Jelic,24,1997,CROATIA,FEMALE,36,62,889
Magda Wiet Henin,26,1995,FRANCE,FEMALE,32,57,918
Julyana Al-sadeq,27,1994,JORDAN,FEMALE,154,57,573
Milena Titoneli,24,1998,BRAZIL,FEMALE,202,62,511
Ruth Gbagbi,28,1994,IVORIAN,FEMALE,13,46,1.17
Lauren Williams,23,1999,BRITAIN,FEMALE,54,57,833
Caroline Santos,26,1996,BRAZIL,FEMALE,594,57,282
Cecilia Castro Burgos,25,1997,SPAIN,FEMALE,391,62,364
Nadica Bozanic,21,2001,SERBIA,FEMALE,320,57,404
Mengyu Zhang,24,1998,CHINA,FEMALE,291,57,422
Jone Magdaleno Albizu,25,1997,SPAIN,FEMALE,1.201,57,169
Vanessa Koerndl,NOT FOUND,NOT FOUND,GERMANY,FEMALE,536,62,301
Petra Stolbova,NOT FOUND,NOT FOUND,CZECH,FEMALE,468,57,321
Bruna Vuletic,23,1999,CROATIA,FEMALE,228,53,480
Ashley Kraayeveld,30,1992,CANADA,FEMALE,323,57,403