Name,Age,DOB,Country,Gender,Category in kg,Rank,Height in m,Weight in kg,Snatch,Jerk,Total
Li Fabin,28,1993,CHINA,MALE,61,1,1.6,61,141,172,313
Irawan Eko Yuli,32,1989,INDONESIA,MALE,61,2,1.57,62,137,165,302
Son Igor,23,1998,KAZAKHSTAN,MALE,61,3,NOT FOUND,55,131,163,294
Itokazu Yoichi,30,1991,JAPAN,MALE,61,4,1.6,64,133,159,292
Alsaleem Seraj Abdulrahim,25,1996,SAUDI ARABIA,MALE,61,5,1.75,61,127,155,282
Ruiu Davide,20,2001,ITALY,MALE,61,6,1.64,61,127,159,286
Mishvelidze Shota,27,1994,GEORGIA,MALE,61,7,NOT FOUND,61,131,155,286
Garcia Brito Luis Alberto,26,1995,DOMINICAN REPUBLIC,MALE,61,8,1.48,56,120,154,274
Brandhuber Simon Josef,30,1991,GERMANY,MALE,61,9,1.64,61,123,145,268
Baru Morea,31,1990,PAPUA NEW GUINEA,MALE,61,10,1.62,62,115,150,265
Andriantsitohaina Eric Herman,30,1991,MALAGASY,MALE,61,11,NOT FOUND,60.1,114,150,264
Rojas Concha Marcos Antonio,26,1995,PERU,MALE,61,12,NOT FOUND,60.9,105,135,240
Chen Lijun,28,1993,CHINA,MALE,67,1,1.62,67,145,187,332
Mosquera Lozano Luis Javier,26,1995,COLOMBIA,MALE,67,2,1.65,67,151,180,331
Zanni Mirko,24,1997,ITALY,MALE,67,3,1.71,69,145,177,322
Han Myeongmok,30,1991,SOUTH KOREA,MALE,67,4,1.6,62,147,174,321
Talib Talha,22,1999,PAKISTAN,MALE,67,5,1.72,62,150,170,320
Ergashev Adkhamjon,22,1999,UZBEKISTAN,MALE,67,6,1.58,67,139,173,312
Konnai Mitsunori,25,1996,JAPAN,MALE,67,7,1.67,67,135,172,307
Chkheidze Goga,25,1996,GEORGIA,MALE,67,8,NOT FOUND,67,133,169,302
Deni,32,1989,INDONESIA,MALE,85,3,1.63,68,135,166,301
Munoz Martinez Jonathan Antonio,26,1995,MEXICO,MALE,67,10,NOT FOUND,67,135,163,298
Andriatsitohaina Tojonirina Alain,26,1995,MALAGASY,MALE,67,11,1.65,66,130,155,285
Katoatau Ruben,24,1997,I KIRIBATI,MALE,67,12,NOT FOUND,73,105,145,250
Shi Zhiyong,28,1993,CHINA,MALE,69,NOT FOUND,1.68,73,152,NOT FOUND,0
Mayora Pernia Julio Ruben,25,1996,VENEZUELA,MALE,73,2,1.65,67,156,190,346
Abdullah Rahmat Erwin,21,2000,INDONESIA,MALE,73,3,1.73,72,143,188,331
Calja Briken,31,1990,ALBANIA,MALE,73,4,1.69,69,151,190,341
Andreev Bozhidar Dimitrov,24,1997,BULGARIA,MALE,73,5,1.69,73,154,184,338
Ben Hnia Karem,27,1994,TUNISIA,MALE,73,6,1.65,69,153,185,338
Miyamoto Masanori,24,1997,JAPAN,MALE,73,7,1.62,73,147,188,335
Robu Marin,21,2000,MOLDOVA,MALE,73,NOT FOUND,1.75,73,147,NOT FOUND,0
Cummings Jr Clarence,21,2000,USA,MALE,73,9,1.57,73,145,180,325
Sanchez Lopez David,27,1994,SPAIN,MALE,73,10,1.66,69,146,177,323
Cardenas Estrada Jorge Adan,24,1997,MEXICO,MALE,73,11,NOT FOUND,72.65,145,175,320
Alhumayd Mahmoud Mohammed,27,1994,SAUDI ARABIA,MALE,73,12,NOT FOUND,73,141,165,306
Wakeling Brandon Dean,27,1994,AUSTRALIA,MALE,73,13,1.67,72,125,166,291
Moum Abderrahim,21,2000,MOROCCO,MALE,73,14,1.72,73,127,151,278
Lyu Xiaojun,37,1984,CHINA,MALE,81,1,1.72,81,170,204,374
Bonnat Michel Zacarias,25,1996,DOMINICAN REPUBLIC,MALE,81,2,NOT FOUND,81,163,204,367
Pizzolato Antonino,25,1996,ITALY,MALE,81,3,1.75,81,165,200,365
Maurus Harrison James,21,2000,USA,MALE,81,4,1.73,81,161,200,361
Rodallegas Carvajal Brayan Santiago,24,1997,COLOMBIA,MALE,81,5,NOT FOUND,81,163,196,359
Suharevs Ritvars,22,1999,LATVIA,MALE,81,6,1.62,81,163,195,358
Mueller Nico,28,1993,GERMANY,MALE,81,7,1.68,81,159,195,354
Mata Perez Andres Eduardo,29,1992,VENEZUELA,MALE,81,8,1.74,77,158,189,347
Qerimaj Erkand,33,1988,ALBANIA,MALE,81,9,1.68,75,153,180,333
Al-khanjari Amur Salim Ramadhan,21,2000,OMAN,MALE,81,10,NOT FOUND,81,140,177,317
Mctaggart Cameron David,24,1997,NEWZEALAND,MALE,81,11,NOT FOUND,80.8,140,175,315
Bahloul Ramzi,32,1989,TUNISIA,MALE,81,12,1.8,81,136,164,300
Elbakh Fares Ibrahim E. H.,23,1998,QATAR,MALE,96,1,1.78,96,177,225,402
Vallenilla Sanchez Keydomar Giovanni,21,1999,VENEZUELA,MALE,96,2,NOT FOUND,94,177,210,387
Pliesnoi Anton,25,1996,GEORGIA,MALE,96,3,1.77,96,177,210,387
Santavy Boady Robert,24,1997,CANADA,MALE,96,4,1.76,94,158,189,347
Chen Po-jen,23,1998,TAIWAN,MALE,96,5,NOT FOUND,96,176,205,381
Rasulbekov Bekdoolot,25,1996,KYRGYZSTAN,MALE,96,6,NOT FOUND,96,166,208,374
Adamus Bartlomiej Stefan,21,2000,POLAND,MALE,96,7,NOT FOUND,95.55,160,195,355
Yu Dongju,28,1993,SOUTH KOREA,MALE,96,8,1.75,84,160,200,360
Saez Vera Olfides,26,1994,CUBA,MALE,96,9,NOT FOUND,92.35,156,203,359
Cyrille Fagat Tchatchet Ii,26,1995,CAMEROON,MALE,96,10,1.77,96,155,195,350
Iakovidis Theodoros,30,1991,GREECE,MALE,96,11,1.81,94,156,182,338
Amoah Christian,22,1999,GHANA,MALE,96,12,1.84,96,145,170,315
Hamada Mohammed K H,19,2002,PALESTINE,MALE,96,13,NOT FOUND,96,137,173,310
Hou Zhihui,24,1997,CHINA,FEMALE,49,1,1.48,49,94,116,210
Mirabai Chanu Saikhom,27,1994,INDIA,FEMALE,49,2,1.5,49,87,115,202
Aisah Windy Cantika,19,2002,INDONESIA,FEMALE,49,3,NOT FOUND,49,84,110,194
Fang Wan-ling,22,1999,TAIWAN,FEMALE,49,4,1.5,49,80,101,181
Sterckx Nina,19,2002,BELGIUM,FEMALE,49,5,NOT FOUND,49,81,99,180
Montero Ramos Ludia Marguiela,22,1999,CUBA,FEMALE,49,6,NOT FOUND,44.95,82,96,178
Michel Anais,33,1988,FRANCE,FEMALE,49,7,1.5,47,78,99,177
Piron Candelario Beatriz Elizabeth,26,1995,DOMINICAN REPUBLIC,FEMALE,49,8,1.5,48,81,95,176
Rosa Figueiredo Nathasha,25,1996,BRAZIL,FEMALE,49,9,1.5,49,78,95,173
Toua Loa Dika,37,1984,PAPUA NEW GUINEA,FEMALE,55,NOT FOUND,1.5,52,NOT FOUND,NOT FOUND,0
Ranaivosoa Marie Hanitra Roilya,31,1990,MAURITIUS,FEMALE,49,11,1.6,48,73,91,164
Diaz Hidilyn,30,1991,PHILIPPINES,FEMALE,55,1,1.58,58,97,127,224
Liao Qiuyun,26,1995,CHINA,FEMALE,55,2,NOT FOUND,54.8,97,126,223
Chinshanlo Zulfiya,28,1993,KAZAKHSTAN,FEMALE,55,3,1.55,53,90,123,213
Nabieva Muattar,25,1996,UZBEKISTAN,FEMALE,55,4,NOT FOUND,55,98,114,212
Konotop Kamila,20,2001,UKRAINE,FEMALE,55,5,NOT FOUND,55,94,112,206
Shermetova Kristina,28,1993,TURKISH,FEMALE,55,6,1.73,53,90,115,205
Ham Eunji,24,1997,SOUTH KOREA,FEMALE,55,6,NOT FOUND,55,80,114,194
Landoulsi Nouha,23,1998,TUNISIA,FEMALE,55,8,1.62,52,88,108,196
Opez Ferrer Ana Gabriela,27,1994,MEXICO,FEMALE,55,9,NOT FOUND,54.8,90,105,195
Lochowska Joanna,33,1988,POLAND,FEMALE,55,10,1.58,53,84,102,186
Yagi Kanae,29,1992,JAPAN,FEMALE,55,11,1.52,52,81,102,183
Leblanc-bazinet Rachel,33,1988,CANADA,FEMALE,55,12,NOT FOUND,55,82,99,181
Chiang Nien-hsin,24,1997,TAIWAN,FEMALE,55,13,1.5,58,81,95,176
Lifu Mary Kini,27,1994,SOLOMON ISLANDS,FEMALE,59,2,1.49,53,65,80,145
Kuo Hsing-chun,28,1993,TAIWAN,FEMALE,59,1,1.55,59,103,133,236
Guryeva Polina,22,1999,TURKEY,FEMALE,59,2,NOT FOUND,59,96,121,217
Andoh Mikiko,29,1992,JAPAN,FEMALE,59,3,1.55,58,94,120,214
Tchakounte Dora Meiriama,26,1995,FRANCE,FEMALE,59,4,NOT FOUND,59,96,117,213
Hoang Thi Duyen,25,1996,VIETNAM,FEMALE,59,5,NOT FOUND,59,95,113,208
Figueroa Roldan Yusleidy Mariana,28,1993,VENEZUELA,FEMALE,59,6,1.53,58,91,115,206
Yaylyan Izabella,26,1995,ARMENIA,FEMALE,59,7,NOT FOUND,58,95,110,205
Smith Zoe,27,1994,ENGLAND,FEMALE,59,8,1.59,58,87,113,200
Darsigny Tali,23,1998,CANADA,FEMALE,59,9,1.65,59,90,109,199
Kusterer Sabine Beate,30,1991,GERMANY,FEMALE,59,10,1.56,58,91,107,198
Alemanno Maria Grazia,31,1990,ITALY,FEMALE,59,11,NOT FOUND,59,85,100,185
Yamasaki Erika Yuriko Iris,34,1987,AUSTRALIA,FEMALE,59,12,1.5,59,75,95,170
Charron Maude G,28,1993,CANADA,FEMALE,64,1,1.55,63,105,131,236
Bordignon Giorgia,34,1987,ITALY,FEMALE,64,2,1.6,63,104,128,232
Chen Wen-huei,24,1997,TAIWAN,FEMALE,64,3,NOT FOUND,64,103,127,230
Perez Tigrero Mercedes Isabel,NOT FOUND,NOT FOUND,COLOMBIA,FEMALE,64,4,NOT FOUND,63.7,101,126,227
Davies Sarah,29,1992,ENGLAND,FEMALE,64,5,1.62,64,100,127,227
Palacios Dajomes Angie Paola,21,2000,ECUADOR,FEMALE,64,1,NOT FOUND,63.3,104,122,226
Ando Elreen Ann,23,1998,PHILIPPINES,FEMALE,64,7,NOT FOUND,63.15,100,122,222
Rodriguez Mitjan Marina De La Caridad,26,1995,CUBA,FEMALE,64,8,1.55,63,98,123,221
Levent Nuray,21,2000,TURKEY,FEMALE,64,2,1.61,64,100,120,220
Schweizer Lisa Marie,26,1995,GERMANY,FEMALE,64,10,1.65,64,100,117,217
Elliott Kiana Rose,24,1997,AUSTRALIA,FEMALE,64,11,NOT FOUND,66.41,101,108,209
Ludrick Rivas Sema Nancy,22,1999,NICARAGUA,FEMALE,64,12,NOT FOUND,NOT FOUND,87,115,202
Zammit Stevens Yasmin,28,1993,MALTA,FEMALE,64,13,NOT FOUND,64,84,105,189